Date,Open,High,Low,Close,Adj Close,Volume
2020-09-14,25.670000,25.990000,25.049999,25.209999,24.698950,319139000
2020-09-21,24.570000,24.780001,22.950001,23.490000,23.013819,299516200
2020-09-28,23.879999,24.430000,23.530001,24.209999,23.719219,246382500
2020-10-05,24.520000,25.490000,24.280001,25.360001,24.845911,256178000
2020-10-12,25.299999,25.830000,23.480000,24.240000,23.748611,362149400
2020-10-19,24.299999,25.260000,23.690001,24.900000,24.395233,261828600
2020-10-26,24.469999,24.580000,23.120001,23.700001,23.219561,320345800
2020-11-02,23.889999,24.959999,23.270000,24.309999,23.817194,343885200
2020-11-09,26.600000,28.270000,26.299999,27.000000,26.452663,424767900
2020-11-16,27.860001,28.000000,26.629999,26.809999,26.266516,245176700
2020-11-23,27.110001,29.100000,27.059999,28.990000,28.402323,209030500
2020-11-30,28.719999,29.430000,28.100000,29.290001,28.696243,279282400
2020-12-07,28.900000,29.250000,28.299999,28.570000,28.165293,230351200
2020-12-14,28.920000,29.100000,28.139999,28.670000,28.263880,252402900
2020-12-21,29.100000,30.350000,28.730000,29.959999,29.535604,207621200
2020-12-28,30.230000,30.549999,29.900000,30.309999,29.880646,121239200
2021-01-04,30.459999,33.619999,29.750000,32.529999,32.069202,325993600
2021-01-11,32.090000,34.369999,31.900000,33.009998,32.542397,269375000
2021-01-18,32.500000,33.599998,31.250000,31.549999,31.103081,226991300
2021-01-25,31.270000,31.430000,29.590000,29.650000,29.229996,263503000
2021-02-01,29.870001,32.910000,29.570000,32.369999,31.911463,237677900
2021-02-08,32.430000,33.450001,32.400002,33.369999,32.897301,193862800
2021-02-15,33.980000,34.730000,33.700001,34.540001,34.050728,190313700
2021-02-22,34.450001,37.029999,34.410000,34.709999,34.218319,328058900
2021-03-01,35.520000,37.599998,35.240002,36.930000,36.406872,323921200
2021-03-08,37.380001,38.180000,35.810001,37.939999,37.588337,274550700
2021-03-15,38.029999,39.970001,36.970001,38.529999,38.172871,365920400
2021-03-22,38.080002,38.759998,36.630001,38.680000,38.321480,262800000
2021-03-29,38.049999,39.520000,37.860001,39.490002,39.123978,217242900
2021-04-05,40.000000,40.279999,39.220001,39.990002,39.619339,227213800
2021-04-12,39.990002,40.380001,38.049999,39.150002,38.787125,323101100
2021-04-19,39.389999,39.430000,37.410000,39.180000,38.816849,227774500
2021-04-26,39.349998,41.130001,39.279999,40.529999,40.154335,186301100
2021-05-03,40.869999,42.250000,39.779999,42.180000,41.789040,211585200
2021-05-10,42.500000,42.939999,40.779999,42.360001,41.967373,204727900
2021-05-17,42.240002,42.950001,41.310001,42.400002,42.007000,190324400
2021-05-24,42.580002,43.259998,41.660000,42.389999,41.997093,216872100
2021-05-31,42.950001,43.490002,42.599998,43.270000,42.868938,161245000
2021-06-07,43.270000,43.389999,41.509998,41.860001,41.646584,183966800
2021-06-14,41.849998,42.099998,38.490002,38.779999,38.582287,322660100
2021-06-21,39.119999,41.830002,39.029999,41.619999,41.407806,214613100
2021-06-28,41.459999,41.950001,40.720001,41.150002,40.940205,159121800
2021-07-05,40.810001,40.880001,38.480000,40.040001,39.835865,187758900
2021-07-12,39.790001,40.810001,37.590000,37.919998,37.726669,317781300
2021-07-19,36.750000,38.770000,36.509998,37.700001,37.507793,293996800
2021-07-26,37.660000,38.980000,37.459999,38.360001,38.164429,203935600
2021-08-02,38.400002,40.410000,37.549999,40.150002,39.945305,224619700
2021-08-09,40.049999,42.290001,39.799999,41.630001,41.417759,238513500
2021-08-16,41.160000,41.570000,39.910000,40.369999,40.164177,224758600
2021-08-23,40.630001,42.840000,40.599998,42.490002,42.273373,209803700
2021-08-30,42.630001,42.630001,40.639999,41.049999,40.840714,238223400
2021-09-06,41.250000,41.849998,40.240002,40.270000,40.270000,156580900
2021-09-13,40.599998,41.310001,39.660000,39.840000,39.840000,95856700
