Date,Open,High,Low,Close,Adj Close,Volume
2020-09-14,337.489990,343.059998,327.970001,330.649994,324.756958,398023800
2020-09-21,325.700012,331.200012,319.799988,328.730011,324.163666,403925800
2020-09-28,333.220001,338.739990,331.190002,333.839996,329.202637,398099500
2020-10-05,336.059998,347.350006,334.380005,346.850006,342.031952,297612700
2020-10-12,349.589996,354.019989,343.130005,347.290009,342.465820,361231500
2020-10-19,348.649994,349.329987,340.649994,345.779999,340.976807,296595700
2020-10-26,342.130005,342.980011,322.600006,326.540009,322.004089,495446400
2020-11-02,330.200012,352.190002,327.239990,350.160004,345.295959,463334900
2020-11-09,363.970001,364.380005,350.510010,358.100006,353.125671,446943600
2020-11-16,360.980011,362.779999,354.149994,355.329987,350.394135,341601600
2020-11-23,357.279999,364.179993,354.869995,363.670013,358.618317,199491500
2020-11-30,362.829987,369.850006,359.170013,369.850006,364.712463,317663000
2020-12-07,369.019989,371.049988,363.260010,366.299988,361.211761,280935500
2020-12-14,368.640015,372.459991,364.470001,369.179993,364.051758,392163800
2020-12-21,364.970001,378.459991,362.029999,369.000000,365.425323,216995000
2020-12-28,371.739990,374.660004,370.829987,373.880005,370.258057,220656900
2021-01-04,375.309998,381.489990,364.820007,381.260010,377.566589,425078700
2021-01-11,377.850006,381.130005,373.700012,375.700012,372.060425,306035100
2021-01-18,378.339996,384.950012,376.750000,382.880005,379.170868,213770000
2021-01-25,383.670013,385.850006,368.269989,370.070007,366.484985,457381600
2021-02-01,373.720001,388.470001,370.380005,387.709991,383.954071,288507800
2021-02-08,389.269989,392.899994,387.500000,392.640015,388.836334,226577300
2021-02-15,393.959991,394.170013,387.739990,390.029999,386.251587,246216800
2021-02-22,387.059998,392.230011,378.230011,380.359985,376.675262,546504300
2021-03-01,385.589996,390.920013,371.880005,383.630005,379.913605,640356900
2021-03-08,384.660004,395.649994,381.420013,394.059998,390.242554,497580800
2021-03-15,394.329987,398.119995,387.149994,389.480011,385.706940,474082600
2021-03-22,390.029999,396.410004,383.899994,395.980011,393.428345,492591500
2021-03-29,394.399994,400.670013,392.809998,400.609985,398.028473,396786900
2021-04-05,403.459991,411.670013,403.380005,411.489990,408.838379,328509800
2021-04-12,410.850006,417.910004,410.200012,417.260010,414.571228,317182900
2021-04-19,416.260010,418.250000,410.589996,416.739990,414.054535,397935300
2021-04-26,417.440002,420.720001,416.299988,417.299988,414.610931,318795700
2021-05-03,419.429993,422.820007,411.670013,422.119995,419.399872,371936900
2021-05-10,422.500000,422.739990,404.000000,416.579987,413.895569,522147000
2021-05-17,415.390015,418.200012,405.329987,414.940002,412.266174,386007400
2021-05-24,417.339996,421.250000,417.079987,420.040009,417.333313,267144600
2021-05-31,422.570007,422.920013,416.279999,422.600006,419.876801,217391300
2021-06-07,422.589996,424.630005,420.320007,424.309998,421.575775,243716500
2021-06-14,424.429993,425.459991,414.700012,414.920013,412.246307,383879100
2021-06-21,416.799988,427.089996,415.929993,426.609985,425.247620,283207500
2021-06-28,427.170013,434.100006,425.890015,433.720001,432.334930,265096700
2021-07-05,433.779999,435.839996,427.519989,435.519989,434.129181,306093700
2021-07-12,435.429993,437.920013,430.920013,431.339996,429.962524,300932400
2021-07-19,426.190002,440.299988,421.970001,439.940002,438.535095,423964700
2021-07-26,439.309998,441.799988,435.989990,438.510010,437.109650,279914600
2021-08-02,440.339996,442.940002,436.100006,442.489990,441.076935,249403200
2021-08-09,442.459991,445.940002,441.309998,445.920013,444.496002,206893900
2021-08-16,444.529999,447.109985,436.119995,443.359985,441.944153,420553900
2021-08-23,445.160004,450.649994,443.440002,450.250000,448.812164,269278900
2021-08-30,450.970001,454.049988,450.709991,453.079987,451.633118,246050500
2021-09-06,452.709991,452.809998,445.309998,445.440002,444.017517,255671800
2021-09-13,448.640015,448.920013,443.220001,444.170013,442.751587,161935700
