Date,Open,High,Low,Close,Adj Close,Volume
2020-09-14,34.497154,35.616699,34.421253,34.753323,33.394863,123366694
2020-09-21,34.506641,34.611008,33.567364,34.203037,32.866081,107664309
2020-09-28,34.307400,35.189754,34.184059,34.516129,33.166935,95168190
2020-10-05,34.658443,35.275143,34.184059,34.905125,33.540726,108318315
2020-10-12,34.819733,36.166985,34.544594,36.005692,34.598278,122160076
2020-10-19,36.451614,36.859585,35.132828,36.223907,34.807957,123102563
2020-10-26,35.929790,36.166985,32.827324,33.662239,32.346424,157668598
2020-11-02,34.089184,36.166985,33.719166,34.535103,33.185169,141735490
2020-11-09,39.715370,39.838711,35.332069,36.641365,35.571198,456170040
2020-11-16,35.920303,37.419998,34.962048,36.700001,35.628117,289852967
2020-11-23,37.029999,37.259998,36.020000,37.230000,36.142639,138391200
2020-11-30,37.950001,41.410000,37.599998,40.340000,39.161804,326211300
2020-12-07,40.660000,43.080002,40.369999,41.119999,39.919025,339897700
2020-12-14,41.619999,41.660000,37.310001,37.680000,36.579494,329333400
2020-12-21,37.279999,37.650002,36.599998,37.270000,36.181469,125498300
2020-12-28,37.360001,37.580002,36.290001,36.810001,35.734905,105832100
2021-01-04,36.869999,37.529999,36.270000,37.130001,36.045559,159709500
2021-01-11,37.220001,37.830002,36.400002,36.700001,35.628117,190705700
2021-01-18,36.759998,37.000000,36.150002,36.549999,35.482502,128952300
2021-01-25,36.549999,37.599998,35.619999,35.900002,34.851482,209727000
2021-02-01,35.930000,36.189999,34.270000,34.919998,34.268890,229016900
2021-02-08,34.959999,35.080002,34.279999,34.720001,34.072624,147307800
2021-02-15,34.849998,35.000000,34.400002,34.439999,33.797844,107317500
2021-02-22,34.330002,34.369999,33.360001,33.490002,32.865559,181601700
2021-03-01,33.590000,35.090000,33.439999,34.389999,33.748775,180137900
2021-03-08,34.480000,35.139999,34.330002,34.939999,34.288521,123921500
2021-03-15,35.009998,35.970001,34.959999,35.529999,34.867519,162537300
2021-03-22,35.480000,36.290001,35.250000,36.250000,35.574097,129101200
2021-03-29,36.029999,36.740002,35.900002,36.299999,35.623161,101210700
2021-04-05,36.439999,36.810001,35.759998,36.599998,35.917568,114569700
2021-04-12,36.480000,38.700001,36.330002,38.570000,37.850838,165530500
2021-04-19,38.599998,39.669998,38.330002,38.660000,37.939159,144478100
2021-04-26,38.730000,39.000000,38.310001,38.650002,37.929348,112780800
2021-05-03,39.040001,41.090000,37.959999,39.580002,38.842007,264821000
2021-05-10,39.830002,40.320000,39.230000,40.020000,39.660786,131065200
2021-05-17,40.070000,40.599998,39.430000,39.950001,39.591415,93875900
2021-05-24,40.080002,40.139999,38.599998,38.730000,38.382366,125500400
2021-05-31,38.939999,39.500000,38.480000,39.150002,38.798595,80023000
2021-06-07,39.080002,40.720001,38.480000,40.150002,39.789619,136815600
2021-06-14,40.029999,40.070000,38.700001,38.810001,38.461647,120148700
2021-06-21,38.880001,39.689999,38.880001,38.980000,38.630119,93700200
2021-06-28,39.009998,39.830002,38.820000,39.730000,39.373390,91619000
2021-07-05,39.480000,40.099998,38.930000,39.610001,39.254467,81197000
2021-07-12,39.660000,40.349998,39.529999,40.349998,39.987823,97144800
2021-07-19,40.070000,41.830002,39.680000,41.680000,41.305885,146675200
2021-07-26,41.619999,43.740002,41.389999,42.810001,42.425743,163855400
2021-08-02,43.299999,45.860001,43.250000,45.070000,45.070000,176003100
2021-08-09,45.110001,48.570000,45.110001,48.480000,48.480000,229459500
2021-08-16,48.230000,51.860001,47.509998,48.720001,48.720001,287460300
2021-08-23,50.290001,51.360001,46.529999,46.599998,46.599998,254217000
2021-08-30,46.200001,47.160000,45.419998,46.840000,46.840000,140145800
2021-09-06,46.990002,47.500000,45.509998,45.590000,45.590000,84555500
2021-09-13,45.740002,45.830002,44.200001,44.709999,44.709999,61186400
